"fileid","artist","album","song","length","isrc","label","explicit","spotify_url","upc"
"4fe20f85cf683a5c4e002327","Dieselboy, Bare","W.M.F.D.","W.M.F.D. (Original Mix)","270","","","","",""
"4e4befdd99968e481c008f85","Wes Smith","Shake N Bake (DJ Brad Smith Remix)","Shake N Bake - Dubstep Mix","251","","","","",""
"4e49701d99968e481d0064db","Halo Nova","Insect Warfare","Insect Warfare - Original Mix","254","","","","",""
"4f295c19c7d26c70d7003c4c","Foxes","Adventure Club Dubstep Remix","Youth (Adventure Club Dubstep Remix)","239","","","","",""
"4fbe54bccf683a1ed7000195","Sub Focus feat. Kenzie May","Falling Down feat. Kenzie May","Falling Down (xKore Remix)","293","","","","spotify:track:2rL8WU7JSirWepIwRTErKV",""
"4ddc0934845daf626d000120","Dubsidia","Pasta With Ganja","Pasta Gangsta - Original Mix","313","","","","spotify:track:0KrfkLkfn3CqmB69IXOqoM",""
"5012dfc9cf683a451c004c05","Eptic","","STICK UP VIP - ft Diesel","275","","","","",""
"5120535c9f81f31ed7d70c29","Venetian Snares","4 Adaptations of Rossz Csillag Alatt Sz?letett","Szerencs?tlen & M?sodik Galamb (Bong-Ra Remix)","290","US78Q0910360","Planet Mu","False","spotify:track:6U7vswFWIwhM60qSAcLUva","600116811134"
"4fcd303ecf683a4d360008be","SubVibe & Mizuki's Last Chance","","Arachnid","399","","","","",""
"4fcf7b82cf683a0f8800020f","Street Lurkin","","Street Lurkin - Hold Your Breath (Dirt Monkey 110 Remix) (PLAY ME FREEBIE)","349","","","","",""
"4fcee205cf683a0f91000166","Chuckie & GITD","","Electro Dude (Zombie Nation Edit)","300","","","","",""
"4f0beae0c7d26c29660019a4","Zombie Nation","http://www.facebook.com/propervillainsbass","Kernkraft 400 (E-marce & Proper Villains dubstep remix)","257","","","","",""
"4e2f2f5a99968e3f07001016","Drop Goblin","","Dubstep, Believe It","387","","","","",""
"4e44cfc099968e48170022ad","Phutureprimitive","","Gary Jules - Mad World (Phutureprimitive Mix)","246","","","","",""
"4e678d6799968e0d2d021ded","The Noisy Freaks, Blaster","God's Calling","God's Calling - Bassex Remix","283","","","","",""
"51206c3a9f81f31ed7da58da","+44","When Your Heart Stops Beating","Lycanthrope (Explicit Version)","240","USUM70609081","Interscope","True","spotify:track:1g5CHtsDQl7KVWaUiAwat0","00602517079588"
"512055a79f81f31ed7d7692f","Fugazi","Repeater","Sieve-Fisted Find","204","US35U0404506","Dischord Records","False","spotify:track:6Lcpfn4PgkP1c9Y124gEOu","0718750734822"
"4ddbc3ab845daf626d00000f","Darren Afrika","Psyber Zulu","Psyber Zulu - Reepr Remix","351","","","","",""
