"fileid","artist","album","song","length","isrc","label","explicit","spotify_url","upc"
"512195a19f81f31ed7f747f6","Zedd (feat. Matthew Koma)","Spectrum","Spectrum (Radio Mix)","243","USUM71205604","Interscope","False","spotify:track:0r9Dtmw0gstt9eC2dAjf2Z","00602537073375"
"512094e19f81f31ed7df2ce1","Deadmau5","Raise Your Weapon Remixes","Raise Your Weapon (Radio Edit)","203","USUS11100159","Ultra Records","False","spotify:track:51cCF7qepetm6nF3sachME","617465289453"
"512057159f81f31ed7d794be","Soulja Boy Tell'em (feat. Sammie)","iSouljaBoyTellem","Kiss Me Thru The Phone","193","USUM70848200","Interscope","False","spotify:track:2q4rjDy9WhaN3o9MvDbO21","00602517916821"
"512050939f81f31ed7d6ac2f","Plain White T's","All That We Needed","Hey There Delilah","233","USHR10622325","Fearless Records - Catalog","False","spotify:track:15iEXnizukvzpAFbLIRGKs","886443018686"
"51212a099f81f31ed7ede6be","Drake (feat. Rihanna)","Take Care","Take Care","277","USCM51100552","Cash Money Records/Young Money Ent./Universal Rec.","False","spotify:track:0PRiQvE5UAJgkV9lMelB6S","00602537003600"
"5121ee2a9f81f31ed7fd0674","Rihanna","Diamonds","Diamonds","225","USUM71211793","Def Jam Records","False","spotify:track:1mwt9hzaH7idmC5UCoOUkz","00602537204397"
"51617c0f9f81f35b800ab0bc","Kendrick Lamar","good kid, m.A.A.d city","Bitch, Don?t Kill My Vibe","311","USUM71210774","Aftermath","True","spotify:track:4Pwjz3DfvfQWV0rO2V8jyh","00602537362691"
"52342d04eb35c11bff4ead55","Lem?itre","","Blue Shift","243","","","","spotify:track:2nPWO41XxMMke3TAdNprBh",""
"522a766feb35c15c21872e45","Cash Cash ? Take Me Home feat. Bebe Rexha (Radio Edit)","","Cash Cash ? Take Me Home feat. Bebe Rexha (Radio Edit)","205","","","","spotify:track:5Of1Bzs6PslAmBXE5MueJY",""
"512053c79f81f31ed7d71d60","Katy Perry","Teenage Dream","Peacock","232","USCA21001263","Capitol Records (New Release)","True","spotify:track:0rXw5rWZpOdfeeCbMln8MU","5099968460150"
"5121570d9f81f31ed7f1f8c2","Madonna (feat. M.I.A. & Nicki Minaj)","MDNA","Give Me All Your Luvin'","203","USUG11200184","Interscope","False","spotify:track:2SVtWaGAbJI7RFf7g1tJva","00602527968155"
"512052f29f81f31ed7d6fbbc","The Qemists","Renegade","Renegade (The Qemists VIP)","301","GBCFB1000426","Ninja Tune","False","spotify:track:1Hn6tSoPeCKPqqOODgHP4y","5021392620190"
"5120513e9f81f31ed7d6c1d4","Eminem","The Marshall Mathers LP","The Real Slim Shady","284","USIR10000448","Interscope","True","spotify:track:1MYlx4dBtiyjn7K8YSyfzT","00606949062927"
"512113759f81f31ed7ebc0f7","Bingo Players","Cry (Just A Little)","Cry (Just A Little) [Original Mix]","378","NLC281110164","Hysteria","False","spotify:track:3jgKfKwKsBnPfCapmKlvrM","8712944422412"
"4f836ecac7d26c7954001b3a","Fun.","Some Nights ","Some Nights (Jakob Liedholm Arena Mix)","323","","","","",""
"5120544d9f81f31ed7d73404","Daniel Powter","The Artist Lounge Sampler","Bad Day","234","USWB10401971","Warner Reprise","False","spotify:track:5rYvoJOJ0y8AYodTdf3Wxi","093624936169"
"51206f719f81f31ed7dabff1","Maino","If Tomorrow Comes...","All The Above [feat. T-Pain] (Amended Album Version)","319","USAT20900255","Atlantic Records","False","spotify:track:5nZ4TYZawJz8A9nHg2rLNS","075679989246"
"51212e239f81f31ed7ee460c","Rihanna","Talk That Talk","You Da One","200","USUM71118075","Def Jam Records","False","spotify:track:51PJ2iCdBMEfxtVk3iy4p1","00602527878416"
"5120513a9f81f31ed7d6c128","Chris Brown featuring Benny Benassi","F.A.M.E.","Beautiful People (Main Version)","225","USJI11100070","Jive","False","spotify:track:4bxI9ChxEjVVqtFZmWRrR4","884977915365"
"51211dbb9f81f31ed7ecb6af","Big Sean (feat. Nicki Minaj)","Dance (A$$) Remix","Dance (A$$) Remix (Explicit Version)","220","USUM71116321","Def Jam Records","True","spotify:track:3OVLPcUPS0HbMeAeMP0jZ4","00602527877204"
"5120532b9f81f31ed7d7049b","Daft Punk","Alive 2007","Face To Face / Short Circuit","295","GBDUW0700007","Parlophone France","False","spotify:track:5XzGyYZemDuCG3OdbhVFvh","5099951165857"
"512051589f81f31ed7d6c5a3","Cascada","Now That's What I Call Club Hits 2","Evacuate the Dancefloor (Radio Edit)","208","DEHK90911301","Now Joint Venture","False","spotify:track:1fvD4tBLGypUG0Tg2nHHus","5099991780355"
"512053299f81f31ed7d70441","Flight Facilities feat. Giselle","Hotel Costes 14 by Stephane Pompougnac","Crave You","324","AUGB20800171","Pschent","False","spotify:track:20qWgXY0EZIm0hSzuU91Hk","3596972236525"
"512052a09f81f31ed7d6efa9","Jimmy Eat World","Jimmy Eat World","The Middle","166","USDW10110256","Interscope","False","spotify:track:3mcG2NI5G5vhrQtRda1YnA","00600445033429"
"512050589f81f31ed7d6a52e","R. Kelly","Ignition","Ignition (Remix)","187","USJI10300018","Jive","False","spotify:track:2ZoiKIL2QGJaf6IX9AuK7O","DE0001944405"
"5120610d9f81f31ed7d8de9d","George Michael","Twenty Five","Careless Whisper (Remastered 2006)","300","GBARL0601610","AEGEAN","False","spotify:track:02kqNEFXbcFg22pyvUyjmI","884977918793"
"512051cf9f81f31ed7d6d5a4","N.E.R.D.","Seeing Sounds","Everyone Nose (All The Girls Standing In The Line For The Bathroom)","207","USUM70814752","Interscope","False","spotify:track:5XT2CFlTvvRRlWMWZjwvkQ","00602517751064"
"51215ddf9f81f31ed7f29319","Kill Paris","Artless Theif","Fell Out","221","USQY51224402","Invisibles","False","spotify:track:4Dno6kWVAfGCvRQq0Z7OGd","881034988799"
"512131fe9f81f31ed7eea256","Rihanna","Talk That Talk","Birthday Cake","78","USUM71118092","Def Jam Records","True","spotify:track:4EfN6bixdOOgoLYR5C4cWo","00602527878409"
"512094c49f81f31ed7df29e9","Deadmau5","Raise Your Weapon Remixes","Raise Your Weapon (Noisia Remix)","336","USUS11100162","Ultra Records","False","spotify:track:0EC27gmVRVAMlQYHJCvslK","617465289453"
