"fileid","artist","album","song","length","isrc","label","explicit","spotify_url","upc"
"516f24fccf683a4b715bdd2f","Daft Punk","Alive 2007 (LeBlanc's Remake)","Superheroes / Human After All / Rock'n Roll","312","","","","spotify:track:029O4HWI1pVXLfFdfQd1Jb",""
"516ebfa3cf683a4b7d508e6c","Pickwick","Covers - Single","The Ostrich (The Primitives)","205","","","","",""
"516f44a42e38170b1e2e5960","Mensah","Your GF Likes It Ruff / Quad Bikes (Delta Heavy Remix)","Your GF Likes It Ruff","206","GBQSE1100042","HENCH","False","spotify:track:5lO08XBegIGuboQaMyQi80","5060149931653"
"5138cbc2df5bcf3949672679","Deftones","Around The Fur","My Own Summer (Shove It)","215","USMV29700142","Maverick","False","spotify:track:1158ckiB5S4cpsdYHDB9IF","093624681069"
"512195b29f81f31ed7f749a9","alt-J","An Awesome Wave","Something Good","217","GBZUZ1200069","Infectious","False","spotify:track:3xqxETvPg43KWP0HOGiOmu","5050954271488"
"512194859f81f31ed7f7307b","alt-J","An Awesome Wave","Taro","306","GBZUZ1200074","Infectious","False","spotify:track:4tmwiN9YU7xMjh2hoqcVuI","5050954271488"
"51213def9f81f31ed7efb7f4","Avicii","Levels","Levels (Skrillex Remix)","281","SEUM71101146","Interscope","False","spotify:track:5f6igUw1asUL4AGXSvgTW8","00602527933733"
"4fcf74abcf683a0f8f0001fd","Bernhoft","","Shout (C2C Remix)","271","","","","spotify:track:0eprNyklJ9mEYJM5Ce9j2D",""
"512053289f81f31ed7d7040d","Major Lazer","Guns Don't Kill People...Lazers Do","Pon De Floor","214","USCJ80900290","Downtown/Interscope","False","spotify:track:4HEopLmkmkM0SAEQQpHpC4","00878037008821"
"512c40d12e38172847a3c899","Radiohead","In Rainbows","Reckoner","290","GBSTK0700007","Warner/Chappell Music","False","spotify:track:5bqemq8TkmXBEGt0rXIiGt","093624988298"
"512232c39f81f31ed70279c8","Local Natives","Hummingbird","Heavy Feet","246","GBZUZ1200049","frenchkiss records","False","spotify:track:0BmNElDPN8uGmJtCwPY5fH","675640915528"
"5121f0c99f81f31ed7fd3f87","Madeon","The City","The City (Extended Mix)","269","GBARL1201624","popcultur","False","spotify:track:0vDRdcRmmzn4Nuly7HGihv","886443658394"
"4f57e5dbc7d26c4ae9008f50","Daft Punk vs Star Dust vs Arno Cost vs Ianick","","Music Sounds Better During Alex Mizell's Battles (Munich House Mafia Bootleg)","323","","","","",""
"4f2c4ba2c7d26c6e42000536","PrototypeRaptor","","Wolfgang Gartner - The American Epic (PrototypeRaptor Bootleg)","525","","","","",""
"4ea09e4599968e1eac003b88","Lupe Fiasco ft Ellie Goulding & Bassnectar","www.NewJams.net","LightWork","280","","","","",""
"4ebee08699968e166f001b0d","DMZO","Signals EP","Fuck It, There's No Sleeping (Mashup)","383","","","","",""
"516628722e38173d72f2cd30","David Guetta","Nothing But The Beat","Titanium (feat. Sia)","245","GB28K1100036","EMI France","False","spotify:track:0TDLuuLlV54CkRRUOahJb4","5099967938155"
"5121dfde9f81f31ed7fbb006","David Guetta","Nothing But the Beat 2.0","Play Hard (feat. Ne-Yo & Akon)","201","GB28K1200052","EMI France","False","spotify:track:5YPMEOJ58kfl56VHxTgwx3","5099997943051"
"5121000c9f81f31ed7e9f540","David Guetta","Nothing But The Beat","Turn Me On (feat. Nicki Minaj)","199","GB28K1100029","EMI France","False","spotify:track:6T27IN7Ai94BeDv6PPCmoC","5099967932559"
"4e093ba399968e6ef7000b55","CircusJam","uDubstep.com","Love","288","","","","spotify:track:7Aw8iZouzsANNZCnm7qznD",""
"521225639f81f307766c975b","Kaskade","Turn It Down (with Rebecca & Fiona)","Turn It Down (Le Castle Vania Remix)","410","USUS11100622","Ultra Records, LLC","False","spotify:track:54Rh6fKPGVQqcNCHLl6YmW","617465314957"
"4f2352c0c7d26c70b3002b83","Tyga ","","Rack City (feat. Wale, Fabolous, Young Jeezy, Meek Mill & T.I.) (Remix)","262","","","","",""
"4f2f4ec2c7d26c6e0d000e3d","Porter Robinson","","Unison (Knife Party Remix)","299","","","","spotify:track:62PdGwG6Hv8sCyd29ExKEq",""
"4ea30b5b99968e1eab004b94","Adele","The Best Remixes","Set Fire To The Rain (Joris Van Der Straten Remix Edit)","221","","","","",""
"4fc7b8dacf683a4d580000b8","Zedd","","The Spectrum Of Language (Miami Life Bootleg)","368","","","","",""
